;Unnamed: 0;name;street;phone;city;website;state;parent
0;0;1 2 3 Cash;778 Warwick Ave;(401) 784-9900;Warwick ;http://123cashri.com;;1 2 3 Cash
1;1;1 Stop Cash;1522 Broad St Ste C;(334) 875-6008;Selma;;;1 Stop Cash
2;2;1 Stop Cash Title Loans;2280 Mount Meigs Rd;(334) 649-1270;Montgomery;http://titlecash.com;;1 Stop Cash Title Loans
3;3;1 Stop Payday & Title Loans;Phoenix, ;(602) 910-6800;AZ;;;1 Stop Payday & Title Loans
4;4;1 Stop Title Loans;;(866) 641-4730;;http://1stoptitleloans.com;;1 Stop Title Loans
5;5;1-800 Loanmart;;(800) 562-0799;;http://www.800loanmart.com;;1-800 Loanmart
6;6;1-Loan Inc;2307 5th Ave S;(515) 573-2274;Fort Dodge ;http://www.hometowncashstores.com/locations/fort_dodge;;1-Loan Inc
7;7;100 Day Payday Loans;;(386) 320-0161;;;;100 Day Payday Loans
8;8;100Lenders;;;;;;100Lenders
9;9;123 Cash Net Inc;19 Peddlers Row;(302) 286-6820;Newark ;http://www.manta.com/c/mw2l15j/123-cash-net-inc;;123 Cash Net Inc
10;10;123 Doughcom;729 N Scott Ave;(816) 322-3909;Belton ;http://123dough.com;;123 Doughcom
11;11;123 Settlement.com;200 John James Audubon Parkwa;(888) 366-6602;Amherst ;;;123 Settlement.com
12;12;1a1 Cash Advance;298 Sam Ridley Pkwy E Ste 130;(615) 462-5912;Smyrna ;;;1a1 Cash Advance
13;13;1st Advantage Financial;3115 Drake Ave SW;(256) 885-1900;Huntsville;http://alabamacashloans.com;;1st Advantage Financial
14;14;1st Capital Car Title Loans;2595 Cherry Rd;(803) 980-7510;Rock Hill;;;1st Capital Car Title Loans
15;15;1st Choice Cash Advance;554 E Sandusky Ave;(937) 593-0270;Bellefontaine ;;;1st Choice Cash Advance
16;16;1st Choice Cash Advance;1270 Diamond Springs Rd;(757) 460-0257;Virginia Beach ;;;1st Choice Cash Advance
17;17;1st Choice Financial;1204 Columbus Ave;(740) 333-4333;Washington Court House ;http://1stchoicefinancial.net;;1st Choice Financial
18;18;1st Choice Money Center;1377 W 9000 S;(801) 569-0757;West Jordan ;http://www.1stchoicemoney.com;;1st Choice Money Center
19;19;1st Choice Money Center;1700 N State St;(801) 375-0087;Provo ;http://www.1stchoicemoney.com;;1st Choice Money Center
20;20;1st Choice Money Center;1423 S. 300 W. Suite A;(801) 487-4121;Salt Lake City ;https://www.1stchoicemoney.com;;1st Choice Money Center
21;21;1st Choice Money Center;7210 S 900 E;(801) 565-7919;Midvale ;http://www.1stchoicemoney.com;;1st Choice Money Center
22;22;1st Choice Payday Loan;200 N Pleasantburg Dr Ste A;(864) 233-9178;Greenville;;;1st Choice Payday Loan
23;23;1st Loans;900 S Roselle Rd;(847) 230-9770;Schaumburg ;http://www.firstloanstoday.com;;1st Loans
24;24;1st Loans Financial;1238 N Ashland Ave;(773) 235-5500;Chicago ;http://www.firstcashadvance.com;;1st Loans Financial
25;25;1st Loans Financial;1113 W Chicago Ave;(312) 850-9999;Chicago ;http://www.firstloanstoday.com;;1st Loans Financial
26;26;1st Merchant Funding;10800 Biscayne Blvd Ste 1000;(305) 398-4270;Miami ;https://www.1stmerchantfunding.com;;1st Merchant Funding
27;27;2 Fast Payday Loans;2141 Cottman Ave;(267) 687-0320;Philadelphia;http://www.2fastpaydayloan.info;;2 Fast Payday Loans
28;28;2 Fast Payday Loans;44 Broad St NW;(470) 443-3970;Atlanta;http://www.2fastpaydayloan.info;;2 Fast Payday Loans
29;29;2 Fast Payday Loans;701 Loyola Ave;(504) 313-5657;New Orleans;http://www.2fastpaydayloan.info;;2 Fast Payday Loans
30;30;2 Fast Payday Loans;4803 NW Loop 410;(210) 951-6526;San Antonio;http://www.2fastpaydayloan.info;;2 Fast Payday Loans
