,name,street,phone,city,website,state,parent
0,1 2 3 Cash,778 Warwick Ave,(401) 784-9900,Warwick ,http://123cashri.com,RI,0
1,1 Stop Cash,1522 Broad St Ste C,(334) 875-6008,Selma,,AL,0
2,1 Stop Cash Title Loans,2280 Mount Meigs Rd,(334) 649-1270,Montgomery,http://titlecash.com,AL,0
3,1 Stop Payday & Title Loans,"Phoenix, ",(602) 910-6800,AZ,,AZ,0
4,1 Stop Title Loans,,(866) 641-4730,,http://1stoptitleloans.com,AZ,0
5,1-800 Loanmart,,(800) 562-0799,,http://www.800loanmart.com,CA,0
6,1-Loan Inc,2307 5th Ave S,(515) 573-2274,Fort Dodge ,http://www.hometowncashstores.com/locations/fort_dodge,IA,0
7,100 Day Payday Loans,,(386) 320-0161,,,FL,0
8,100Lenders,,,,,KS,0
9,123 Cash Net Inc,19 Peddlers Row,(302) 286-6820,Newark ,http://www.manta.com/c/mw2l15j/123-cash-net-inc,DE,15492
10,123 Doughcom,729 N Scott Ave,(816) 322-3909,Belton ,http://123dough.com,MO,0
11,123 Settlement.com,200 John James Audubon Parkwa,(888) 366-6602,Amherst ,,NY,0
12,1a1 Cash Advance,298 Sam Ridley Pkwy E Ste 130,(615) 462-5912,Smyrna ,,TN,0
13,1st Advantage Financial,3115 Drake Ave SW,(256) 885-1900,Huntsville,http://alabamacashloans.com,AL,0
14,1st Capital Car Title Loans,2595 Cherry Rd,(803) 980-7510,Rock Hill,,SC,0
15,1st Choice Cash Advance,554 E Sandusky Ave,(937) 593-0270,Bellefontaine ,,OH,0
16,1st Choice Cash Advance,1270 Diamond Springs Rd,(757) 460-0257,Virginia Beach ,,VA,0
17,1st Choice Financial,1204 Columbus Ave,(740) 333-4333,Washington Court House ,http://1stchoicefinancial.net,OH,0
18,1st Choice Money Center,1377 W 9000 S,(801) 569-0757,West Jordan ,http://www.1stchoicemoney.com,UT,0
19,1st Choice Money Center,1700 N State St,(801) 375-0087,Provo ,http://www.1stchoicemoney.com,UT,0
20,1st Choice Money Center,1423 S. 300 W. Suite A,(801) 487-4121,Salt Lake City ,https://www.1stchoicemoney.com,UT,0
21,1st Choice Money Center,7210 S 900 E,(801) 565-7919,Midvale ,http://www.1stchoicemoney.com,UT,0
22,1st Choice Payday Loan,200 N Pleasantburg Dr Ste A,(864) 233-9178,Greenville,,SC,0
23,1st Loans,900 S Roselle Rd,(847) 230-9770,Schaumburg ,http://www.firstloanstoday.com,IL,0
24,1st Loans Financial,1238 N Ashland Ave,(773) 235-5500,Chicago ,http://www.firstcashadvance.com,IL,0
25,1st Loans Financial,1113 W Chicago Ave,(312) 850-9999,Chicago ,http://www.firstloanstoday.com,IL,0
26,1st Merchant Funding,10800 Biscayne Blvd Ste 1000,(305) 398-4270,Miami ,https://www.1stmerchantfunding.com,FL,0
27,2 Fast Payday Loans,2141 Cottman Ave,(267) 687-0320,Philadelphia,http://www.2fastpaydayloan.info,PA,0
28,2 Fast Payday Loans,44 Broad St NW,(470) 443-3970,Atlanta,http://www.2fastpaydayloan.info,GA,0
29,2 Fast Payday Loans,701 Loyola Ave,(504) 313-5657,New Orleans,http://www.2fastpaydayloan.info,LA,0
30,2 Fast Payday Loans,4803 NW Loop 410,(210) 951-6526,San Antonio,http://www.2fastpaydayloan.info,TX,0
31,2 Fast Payday Loans,"3515 W Market St,",(336) 485-8344,Greensboro ,http://www.2fastpaydayloan.info,NC,0
32,2 Fast Payday Loans,671 S High St,(614) 662-2227,Columbus ,http://www.2fastpaydayloan.info,OH,0
33,2 Fast Payday Loans,5241 Paramount Blvd,(562) 353-5534,Lakewood ,http://www.2fastpaydayloan.info,CA,0
34,2 Fast Payday Loans,12720 Colorado Blvd,(720) 370-9797,Thornton ,http://www.2fastpaydayloan.info,CO,0
35,2 Fast Payday Loans,8645 S Eastern Ave,(702) 837-6554,Las Vegas ,http://www.2fastpaydayloan.info,NV,0
36,2 Fast Payday Loans,585 W 100 N,(435) 374-4927,Providence ,http://www.2fastpaydayloan.info,UT,0
37,2 Max Out Tax Service llc.,380 Forest Parkway,(678) 732-3249,Forest Park,,GA,0
38,24 Hour Payday Loans,1412 Cypress Creek Pkwy,(281) 305-2673,Houston,,TX,0
39,24-Hour Payday Loans Atlantic City,2834 Atlantic Ave,(609) 318-5830,Atlantic City ,,NJ,0
40,24/7 Instant Payday Loans,1 S Broad St,(267) 460-7479,Philadelphia,http://www.247instantpaydayloans.info,PA,0
41,24/7 Instant Payday Loans,2800 Youree Dr,(318) 716-7211,Shreveport,http://www.247instantpaydayloans.info,LA,0
42,24/7 Instant Payday Loans,2903 N Kings Hwy,(843) 256-6640,Myrtle Beach,http://www.247instantpaydayloans.info,SC,0
43,24/7 Instant Payday Loans,1730 State St,(262) 977-4892,Racine,http://www.247instantpaydayloans.info,WI,0
44,24/7 Instant Payday Loans,401 N Tryon St,(704) 885-5177,Charlotte ,http://www.247instantpaydayloans.info,NC,0
45,24/7 Instant Payday Loans,1370 Ontario St,(216) 452-6372,Cleveland ,http://www.247instantpaydayloans.info,OH,0
46,24/7 Instant Payday Loans,3238 Old Pickett Rd,(571) 490-7972,Fairfax ,http://www.247instantpaydayloans.info,VA,0
47,24/7 Instant Payday Loans,111 2nd Ave NE,(727) 232-9772,Saint Petersburg ,http://www.247instantpaydayloans.info,FL,0
48,24/7 Instant Payday Loans,10800 Paramount Blvd,(562) 367-3056,Downey ,http://www.247instantpaydayloans.info,CA,0
49,24/7 Instant Payday Loans,8801 Harlan St,(720) 324-2845,Westminster ,http://www.247instantpaydayloans.info,CO,0
50,24/7 Instant Payday Loans,331 Park Central E,(417) 374-1261,Springfield ,http://www.247instantpaydayloans.info,MO,0
51,24/7 Instant Payday Loans,3201 S Maryland Pkwy,(702) 850-7829,Las Vegas ,http://www.247instantpaydayloans.info,NV,0
52,24/7 Instant Payday Loans,7730 S Union Park Ave,(385) 237-1432,Midvale ,http://www.247instantpaydayloans.info,UT,0
53,24/7 Payday Loans,2443 S Collins St,(817) 385-1050,Arlington,http://www.fastestcashadvanced.com,TX,0
54,24/7 Payday Loans,701 N International Blvd,(956) 928-9708,Hidalgo,http://www.fastestcashadvanced.com,TX,0
55,24/7 Payday Loans,14205 N Mo Pac Expy,(512) 252-8090,Austin,http://www.fastestcashadvanced.com,TX,0
56,24/7 Payday Loans,584 E South St,(330) 551-3353,Akron ,http://www.fastestcashadvanced.com,OH,0
57,24/7 Payday Loans,29 N Summit St,(419) 540-1436,Toledo ,http://www.fastestcashadvanced.com,OH,0
58,24/7 Payday Loans,1 Market St,(415) 275-2805,San Francisco ,http://www.fastestcashadvanced.com,CA,0
59,24/7 Payday Loans,1430 Truxtun Ave,(661) 243-9739,Bakersfield ,http://www.fastestcashadvanced.com,CA,0
60,24/7 Payday Loans,3750 University Ave,(951) 968-4242,Riverside ,http://www.fastestcashadvanced.com,CA,0
61,24/7 Payday Loans,1000 W Us Highway 24,(816) 313-8033,Independence ,http://www.fastestcashadvanced.com,MO,0
62,3 D Financial,264 S Lowry St,(615) 462-7650,Smyrna ,,TN,0
63,32nd Street Buy Here Pay Here,2715 E 32nd St,(417) 782-3232,Joplin ,,MO,0
64,3d Financial,1203 Scottsville Rd,(615) 688-4942,Lafayette ,http://www.3dfinancial.com,TN,0
65,3D Financial,114 N Gateway Ave,(865) 245-8674,Rockwood ,,TN,0
66,3D Financial Murfreesboro,811 NW Broad St,(615) 849-7403,Murfreesboro ,http://www.3dfinancial.com,TN,0
67,542CASH.com,5119 Park Heights Ave,(410) 542-2274,Baltimore ,http://542cash.com,MD,0
68,745 Cash,3540 Summer Ave,(901) 745-2274,Memphis ,https://www.745cash.com,TN,0
69,745-Cash,,(901) 745-2274,,http://745cash.com,TN,0
70,745-Cash,4664 Summer Ave,(901) 745-2274,Memphis ,http://www.745cash.com,TN,0
71,745-Cash,6526 Winchester Rd,(901) 745-2274,Memphis ,http://745cash.com,TN,0
72,745-Cash,4986 Park ave,(901) 745-2274,Memphis ,http://745cash.com,TN,0
73,745-Cash,5353 Knight Arnold Rd,(901) 745-2274,Memphis ,http://745cash.com,TN,0
74,745-Cash,5968 Mount Moriah Rd,(901) 745-2274,Memphis ,http://www.745cash.com,TN,0
75,745-Cash,7874 Highway 51,(901) 745-2274,Millington ,http://www.745cash.com,TN,0
76,745-Cash,8950 Us Highway 64,(901) 745-2274,Arlington ,http://www.745cash.com,TN,0
77,745-Cash,3400 Elvis Presley Blvd,(901) 745-2274,Memphis ,https://745cash.com,TN,0
78,745-Cash,1425 Germantown Pkwy #4,(901) 745-2274,Memphis ,,TN,0
79,745-Cash,1791 Frayser Blvd,(901) 745-2274,Memphis ,http://745cash.com,TN,0
80,800 Credit USA,555 N Point Ctr E,(678) 632-3863,Alpharetta,,GA,0
81,911 Cash,1225 Chicago Dr SW,(616) 333-2096,Wyoming ,,MI,0
82,A & A Loans,542 Hc 3 # 2,(417) 679-0004,Gainesville ,,MO,0
83,A & B Jewelry & Loan,3522 Dempster St,(815) 916-4383,Skokie ,http://www.abpawnskokie.com,IL,0
84,A + Cash Advance,2214 Missouri Blvd,(573) 634-8441,Jefferson City ,/listings/1001780374222/directions,MO,0
85,A 1 Quick Cash,"719 N Chancery St, Suite 3",(931) 474-8836,Mc Minnville ,,TN,0
86,A A A Check,1005 N Kingshighway St,(573) 339-1565,Cape Girardeau ,http://aaacheckadvance.com,MO,0
87,A A A Check Advance,6 Arnold Mall,(636) 282-2100,Arnold ,http://www.aaacheckadvance.com,MO,0
88,A AAA Pay Day Loans Inc,2254 Tamiami Trl S,(941) 496-8999,Venice ,http://aaapaydaycash.com,FL,0
89,A Advance Payroll,1124 W Redondo Beach Blvd Ste A,(310) 380-6700,Gardena ,http://moneyminutes.com,CA,0
90,A All Financial Antioch Payday,320 W Il Route 173,(847) 395-2362,Antioch ,http://www.aallfinancial.com,IL,0
91,A All Payday Loans,8261 Belmont Ave,(708) 453-6308,River Grove ,http://aallfinancial.com,IL,0
92,A Astro LoanMax,223 S Green Bay Rd,(847) 984-3942,Waukegan ,/listings/1001757240482/directions,IL,0
93,A Car Title Loan Co,3655 Torrance Blvd Ste 300,(310) 742-6514,Torrance ,http://acartitleloan.com,CA,0
94,A Check Advance,148 London Shopping Ctr,(606) 864-3929,London ,http://firstamericancashadvance.com,KY,0
95,A Dollar Cash Advance,2163 S Mckenzie St,(251) 943-1472,Foley,http://approvedcashadvance.com,AL,0
96,A Dollar Cash Advance,2127 S Hickory St,(251) 964-5587,Loxley,http://approvedcashadvance.com,AL,0
97,A Dollar Cash Advance,3600 State Highway 59,(251) 964-5587,Loxley,http://approvedcashadvance.com,AL,0
98,A Dollar Cash Advance,1013 N Mckenzie St,(251) 970-5770,Foley,http://approvedcashadvance.com,AL,0
99,A Dollar Cash Advance,760 Martin St S Ste B,(205) 338-2346,Pell City,http://approvedcashadvance.com,AL,0
100,A Dollar Cash Advance,4057 Moffett Rd,(251) 460-9219,Mobile,http://approvedcashadvance.com,AL,0
101,A Dollar Cash Advance,1002 Highway 78 W,(205) 384-4416,Jasper,http://approvedcashadvance.com,AL,0
102,A Dollar Cash Advance,1480 Gause Blvd Ste C,(985) 847-1949,Slidell,http://approvedcashadvance.com,LA,0
103,A Dollar Cash Advance,1101 Highway 72 E,(662) 287-8658,Corinth,http://approvedcashadvance.com,MS,0
104,A Dollar Cash Advance,436 Highway 61 N Ste 1a,(601) 446-9297,Natchez,http://approvedcashadvance.com,MS,0
105,A Dollar Cash Advance,612 Highway 51,(601) 898-3933,Ridgeland,http://approvedcashadvance.com,MS,0
106,A Dollar Cash Advance,2109 Highway 82 W,(662) 455-7589,Greenwood,http://approvedcashadvance.com,MS,0
107,A Dollar Cash Advance,11312 Highway 49,(228) 539-0208,Gulfport,http://approvedcashadvance.com,MS,0
108,A Dollar Cash Advance,520 E Pass Rd Ste A,(228) 896-4686,Gulfport,http://approvedcashadvance.com,MS,0
109,A Dollar Cash Advance,222 Highway 90,(228) 467-1409,Waveland,http://approvedcashadvance.com,MS,0
110,A Dollar Cash Advance,2845 Clay St Ste 2,(601) 638-2821,Vicksburg,http://approvedcashadvance.com,MS,0
111,A Dollar Cash Advance,206 Highway 16 W,(601) 267-9801,Carthage,http://approvedcashadvance.com,MS,0
112,A Dollar Cash Advance,700 Highway 49 S,(601) 420-3177,Richland,http://approvedcashadvance.com,MS,0
113,A Dollar Cash Advance,603 Highway 90,(228) 467-1409,Waveland,http://approvedcashadvance.com,MS,0
114,A Dollar Cash Advance,759 Highway 49 S,(601) 420-3177,Richland,http://approvedcashadvance.com,MS,0
115,A Dollar Cash Advance,625 E Peace St,(601) 859-9500,Canton,http://approvedcashadvance.com,MS,0
116,A Dollar Cash Advance,126 Highway 6 W,(662) 561-0878,Batesville,http://approvedcashadvance.com,MS,0
117,A Dollar Cash Advance,503 Pinola Dr SW,(601) 849-3252,Magee,http://approvedcashadvance.com,MS,0
118,A Dollar Cash Advance,7402 S Siwell Rd Ste 120,(601) 502-2818,Byram,http://approvedcashadvance.com,MS,0
119,A Dollar Cash Advance,824 Highway 12 W Ste C,(662) 320-6698,Starkville,http://approvedcashadvance.com,MS,0
120,A Loan At Last,3375 E 47th St S,(316) 522-9314,Wichita,http://www.aloanatlast.com,KS,0
121,A P Check Cashing,14639 Industrial Rd,(402) 933-2533,Omaha ,http://aandpcheckcashing.com,NE,0
122,A Payday Loan,1405 S Belt Hwy,(816) 233-8811,Saint Joseph ,,MO,0
123,A Plus Cash Advance,32 Camden Ct SE,(573) 317-9119,Camdenton ,http://www.apluscashadvance.com,MO,0
124,A Plus Check Advance & Title Loan,1099 S Roane St,(865) 882-1100,Harriman ,http://firstamericancashadvance.com,TN,0
125,A Plus Payday Loans,12 Long Rd,(573) 564-2100,Montgomery City ,,MO,0
126,"A S T, Incorporated",Po Box 161367,(901) 691-7092,Memphis ,,TN,0
127,A Time For Cash Inc,2917 Washington Blvd,(801) 393-1600,Ogden ,http://atimeforcash.net,UT,0
128,A To Z Check Cashing,,(843) 751-4994,,http://www.atozcheckcashing.com,SC,0
129,A To Z Credit Lenders Inc,96 N Eastwood Dr,(815) 206-5668,Woodstock ,,IL,0
130,A Touch Of Cash,501 W 29th St,(719) 544-5200,Pueblo ,,CO,0
131,A-1 Cash Advance,510 28th St SE,(616) 241-5600,Grand Rapids ,http://www.a-1cashadvance.com,MI,0
132,A-1 Cash Advance,1021 N Lafayette St,(616) 754-1117,Greenville ,http://www.a-1cashadvance.com,MI,0
133,A-1 Cash Advance,613 28th St SE,(616) 241-3415,Grand Rapids ,http://www.a-1cashadvance.com,MI,0
134,A-1 Check Advance,1679 Old Preston Hwy N Ste 2,(502) 955-5574,Louisville ,,KY,0
135,A-1 Check Cashing Inc,5319 I 55 N,(601) 366-4881,Jackson,http://www.a1checkcashing.com,MS,0
136,A-1 Check Cashing Inc,4511 Terry Rd,(601) 373-8500,Jackson,http://www.a1checkcashing.com,MS,0
137,A-1 Check Cashing Inc,5649 Highway 25 Ste A,(601) 919-1099,Flowood,http://www.a1checkcashing.com,MS,0
138,A-1 Check Cashing Inc,2310 Highway 80 W,(601) 353-2274,Jackson,http://www.a1checkcashing.com/PaydayLoans-Jackson-MS.html,MS,0
139,A-1 Check Cashing Inc,607 Highway 51 Ste C,(601) 853-8266,Ridgeland,http://gomoneybuddy.com,MS,0
140,A-1 Check Cashing Of Paradise,6451 Skyway,(530) 872-7500,Paradise ,/listings/481321585/menu?lid=481321585,CA,0
141,A-1 Check Cashing Inc,101 Fairmont Plaza,(601) 932-0997,Pearl,http://www.a1checkcashing.com/PaydayLoans-Pearl-MS.html,MS,0
142,A-1 Payday Loans,2480 S Frontage Rd Ste D,(601) 619-7666,Vicksburg,http://www.a1paydayloans.net/vicksburg,MS,0
143,A-1 Payday Loans,508 Robertson Blvd,(209) 665-3030,Chowchilla ,,CA,0
144,A-1 Quick Cash,708 Hillsboro Blvd,(931) 723-7761,Manchester ,,TN,0
145,A-1 Quik Cash,115 N Jefferson St,(318) 872-1000,Mansfield,http://www.a1quikcash.com,LA,0
146,A-1 Quik Cash Advance,5403 Hearne Ave,(318) 635-5232,Shreveport,http://www.a1quikcash.com,LA,0
147,A-Great Check Cashing Co,3035 Ellisville Blvd,(601) 649-7300,Laurel,,MS,0
148,A-MEX III,1609 E Price Rd,(956) 542-5900,Brownsville,/listings/461569523/menu?lid=461569523,TX,0
149,A.A.A. American Payday Loans,,(561) 276-7114,,,FL,0
150,A.A.A. American Payday Loans,,(702) 220-0005,,,NV,0
151,A.A.A. FOREX,,(408) 557-0771,,,CA,0
152,A.A.A. FOREX,,(408) 942-0047,,,CA,0
153,A.A.A. FOREX,,(212) 639-5316,,,NY,0
154,A.A.A. FOREX,,(702) 301-9584,,,NV,0
155,A+ Check Advance & Title Loans,621 N Main St,(423) 569-1510,Oneida ,,TN,0
156,A+ Title Loans Alamogordo,820 Scenic Dr Ste 157,(575) 265-1950,Alamogordo ,,NM,0
157,A+ Title Loans Albuquerque,500 Gold Ave SW Suite A,(505) 303-0895,Albuquerque ,,NM,0
158,A+ Title Loans Clovis,1104 E Manana Blvd Ste 202,(575) 265-1950,Clovis ,,NM,0
159,A+ Title Loans Eau Claire,505 S Dewey St Ste L,(715) 602-5822,Eau Claire,,WI,0
160,A+ Title Loans Farmington,4001 N Butler Ave Ste A,(505) 303-0895,Farmington ,,NM,0
161,A+ Title Loans Green Bay,1794 Allouez Ave # 406,(920) 221-0250,Green bay,,WI,0
162,A+ Title Loans Hobbs,1401 N Turner St Ste C,(575) 265-1950,Hobbs ,,NM,0
163,A+ Title Loans Janesville,4465 Milton Ave,(608) 313-7143,Janesville,,WI,0
164,A+ Title Loans Las Cruces,1595 W Amador Ave Ste 158,(575) 265-1950,Las Cruces ,,NM,0
165,A+ Title Loans Madison,1241 John Q Hammons Dr Ste E,(608) 313-7143,Madison,,WI,0
166,A+ Title Loans Milwaukee,234 E Reservoir Ave Unit B,(414) 209-5070,Milwaukee,,WI,0
167,A+ Title Loans Oshosh,420 S Koeller St Ste C,(920) 221-0250,Oshkosh,,WI,0
168,A+ Title Loans Racine,6021 Durand Ave Ste F,(262) 221-9922,Mount Pleasant,,WI,0
169,A+ Title Loans Rio Rancho,2220 Grande Blvd SE Ste 400,(505) 303-0895,Rio Rancho ,,NM,0
170,A+ Title Loans Roswell,3751 N Main St Suite 17,(575) 265-1950,Roswell ,,NM,0
171,A+ Title Loans Santa Fe,1911 5th St Ste C,(505) 303-0895,Santa Fe ,,NM,0
172,A+ Title Loans Springfield,1855 S National Ave Ste 608,(417) 233-0890,Springfield ,,MO,0
