,id,name,county,state_code,state,zip_codes,population,median_income
29351,29352,New York City,Bronx County / Kings County / New York County / Queens County / Richmond County,NY,New York,07086 / 10001 / 10002 / 10003 / 10004 / 10005 / 10006 / 10007 / 10008 / 10009 / 10010 / 10011 / 10012 / 10013 / 10014 / 10015 / 10016 / 10017 / 10018 / 10019 / 10020 / 10021 / 10022 / 10023 / 10024 / 10025 / 10026 / 10027 / 10028 / 10029 / 10030 / 10031 / 10032 / 10033 / 10034 / 10035 / 10036 / 10037 / 10038 / 10039 / 10040 / 10041 / 10043 / 10044 / 10045 / 10046 / 10047 / 10048 / 10055 / 10060 / 10065 / 10069 / 10072 / 10075 / 10079 / 10080 / 10081 / 10082 / 10087 / 10090 / 10094 / 10095 / 10096 / 10098 / 10099 / 10101 / 10102 / 10103 / 10104 / 10105 / 10106 / 10107 / 10108 / 10109 / 10110 / 10111 / 10112 / 10113 / 10114 / 10115 / 10116 / 10117 / 10118 / 10119 / 10120 / 10121 / 10122 / 10123 / 10124 / 10125 / 10126 / 10128 / 10129 / 10130 / 10131 / 10132 / 10133 / 10138 / 10149 / 10150 / 10151 / 10152 / 10153 / 10154 / 10155 / 10156 / 10157 / 10158 / 10159 / 10160 / 10161 / 10162 / 10163 / 10164 / 10165 / 10166 / 10167 / 10168 / 10169 / 10170 / 10171 / 10172 / 10173 / 10174 / 10175 / 10176 / 10177 / 10178 / 10179 / 10184 / 10185 / 10196 / 10197 / 10199 / 10203 / 10211 / 10212 / 10213 / 10242 / 10249 / 10256 / 10257 / 10258 / 10259 / 10260 / 10261 / 10265 / 10268 / 10269 / 10270 / 10271 / 10272 / 10273 / 10274 / 10275 / 10276 / 10277 / 10278 / 10279 / 10280 / 10281 / 10282 / 10285 / 10286 / 10292 / 10301 / 10302 / 10303 / 10304 / 10305 / 10306 / 10307 / 10308 / 10309 / 10310 / 10311 / 10312 / 10313 / 10314 / 10451 / 10452 / 10453 / 10454 / 10455 / 10456 / 10457 / 10458 / 10459 / 10460 / 10461 / 10462 / 10463 / 10464 / 10465 / 10466 / 10467 / 10468 / 10469 / 10470 / 10471 / 10472 / 10473 / 10474 / 10475 / 10499 / 11001 / 11004 / 11005 / 11040 / 11101 / 11102 / 11103 / 11104 / 11105 / 11106 / 11109 / 11120 / 11201 / 11202 / 11203 / 11204 / 11205 / 11206 / 11207 / 11208 / 11209 / 11210 / 11211 / 11212 / 11213 / 11214 / 11215 / 11216 / 11217 / 11218 / 11219 / 11220 / 11221 / 11222 / 11223 / 11224 / 11225 / 11226 / 11228 / 11229 / 11230 / 11231 / 11232 / 11233 / 11234 / 11235 / 11236 / 11237 / 11238 / 11239 / 11240 / 11241 / 11242 / 11243 / 11244 / 11245 / 11247 / 11248 / 11249 / 11251 / 11252 / 11254 / 11255 / 11256 / 11351 / 11352 / 11354 / 11355 / 11356 / 11357 / 11358 / 11359 / 11360 / 11361 / 11362 / 11363 / 11364 / 11365 / 11366 / 11367 / 11368 / 11369 / 11370 / 11371 / 11372 / 11373 / 11374 / 11375 / 11377 / 11378 / 11379 / 11380 / 11381 / 11385 / 11386 / 11390 / 11405 / 11411 / 11412 / 11413 / 11414 / 11415 / 11416 / 11417 / 11418 / 11419 / 11420 / 11421 / 11422 / 11423 / 11424 / 11425 / 11426 / 11427 / 11428 / 11429 / 11430 / 11431 / 11432 / 11433 / 11434 / 11435 / 11436 / 11439 / 11451 / 11499 / 11690 / 11691 / 11692 / 11693 / 11694 / 11695 / 11697,8537673,53373
2725,2726,Los Angeles,Los Angeles County,CA,California,90001 / 90002 / 90003 / 90004 / 90005 / 90006 / 90007 / 90008 / 90009 / 90010 / 90011 / 90012 / 90013 / 90014 / 90015 / 90016 / 90017 / 90018 / 90019 / 90020 / 90021 / 90023 / 90024 / 90025 / 90026 / 90027 / 90028 / 90029 / 90030 / 90031 / 90032 / 90033 / 90034 / 90035 / 90036 / 90037 / 90038 / 90039 / 90041 / 90042 / 90043 / 90044 / 90045 / 90046 / 90047 / 90048 / 90049 / 90050 / 90051 / 90053 / 90054 / 90055 / 90056 / 90057 / 90058 / 90059 / 90060 / 90061 / 90062 / 90063 / 90064 / 90065 / 90066 / 90067 / 90068 / 90069 / 90070 / 90071 / 90072 / 90073 / 90074 / 90075 / 90076 / 90077 / 90078 / 90079 / 90080 / 90081 / 90082 / 90083 / 90084 / 90086 / 90087 / 90088 / 90089 / 90090 / 90093 / 90094 / 90095 / 90099 / 90189 / 90210 / 90211 / 90213 / 90230 / 90232 / 90247 / 90248 / 90272 / 90290 / 90291 / 90292 / 90293 / 90294 / 90295 / 90296 / 90402 / 90501 / 90502 / 90710 / 90717 / 90731 / 90732 / 90734 / 90744 / 90748 / 90810 / 90813 / 91040 / 91041 / 91042 / 91043 / 91214 / 91225 / 91303 / 91304 / 91305 / 91306 / 91307 / 91308 / 91309 / 91311 / 91313 / 91316 / 91324 / 91325 / 91326 / 91327 / 91328 / 91329 / 91330 / 91331 / 91333 / 91334 / 91335 / 91337 / 91340 / 91342 / 91343 / 91344 / 91345 / 91346 / 91352 / 91353 / 91356 / 91357 / 91364 / 91365 / 91367 / 91371 / 91388 / 91393 / 91394 / 91395 / 91396 / 91399 / 91401 / 91402 / 91403 / 91404 / 91405 / 91406 / 91407 / 91408 / 91409 / 91410 / 91411 / 91412 / 91413 / 91416 / 91423 / 91426 / 91436 / 91470 / 91482 / 91495 / 91496 / 91497 / 91499 / 91504 / 91521 / 91522 / 91601 / 91602 / 91603 / 91604 / 91605 / 91606 / 91607 / 91608 / 91609 / 91610 / 91611 / 91612 / 91614 / 91615 / 91616 / 91617 / 91618,3976322,50205
7701,7702,Chicago,Cook County / DuPage County,IL,Illinois,60007 / 60018 / 60106 / 60131 / 60290 / 60601 / 60602 / 60603 / 60604 / 60605 / 60606 / 60607 / 60608 / 60609 / 60610 / 60611 / 60612 / 60613 / 60614 / 60615 / 60616 / 60617 / 60618 / 60619 / 60620 / 60621 / 60622 / 60623 / 60624 / 60625 / 60626 / 60628 / 60629 / 60630 / 60631 / 60632 / 60633 / 60634 / 60636 / 60637 / 60638 / 60639 / 60640 / 60641 / 60642 / 60643 / 60644 / 60645 / 60646 / 60647 / 60649 / 60651 / 60652 / 60653 / 60654 / 60655 / 60656 / 60657 / 60659 / 60660 / 60661 / 60663 / 60664 / 60666 / 60668 / 60669 / 60670 / 60673 / 60674 / 60675 / 60677 / 60678 / 60679 / 60680 / 60681 / 60684 / 60685 / 60686 / 60687 / 60688 / 60689 / 60690 / 60691 / 60693 / 60694 / 60695 / 60696 / 60697 / 60699 / 60701 / 60707 / 60714 / 60804 / 60827,2704958,48522
28267,28268,Brooklyn,Kings County,NY,New York,11201 / 11202 / 11203 / 11204 / 11205 / 11206 / 11207 / 11208 / 11209 / 11210 / 11211 / 11212 / 11213 / 11214 / 11215 / 11216 / 11217 / 11218 / 11219 / 11220 / 11221 / 11222 / 11223 / 11224 / 11225 / 11226 / 11228 / 11229 / 11230 / 11231 / 11232 / 11233 / 11234 / 11235 / 11236 / 11237 / 11238 / 11239 / 11244 / 11245 / 11247 / 11248 / 11251 / 11254 / 11255,2636735,32135
29620,29621,Queens,Queens County,NY,New York,11001 / 11004 / 11005 / 11040 / 11101 / 11102 / 11103 / 11104 / 11105 / 11106 / 11109 / 11120 / 11352 / 11354 / 11355 / 11356 / 11357 / 11358 / 11359 / 11360 / 11361 / 11362 / 11363 / 11364 / 11365 / 11366 / 11367 / 11368 / 11369 / 11370 / 11371 / 11372 / 11373 / 11374 / 11375 / 11377 / 11378 / 11379 / 11380 / 11381 / 11385 / 11386 / 11390 / 11405 / 11411 / 11412 / 11413 / 11414 / 11415 / 11416 / 11417 / 11418 / 11419 / 11420 / 11421 / 11422 / 11423 / 11424 / 11425 / 11426 / 11427 / 11428 / 11429 / 11430 / 11431 / 11432 / 11433 / 11434 / 11435 / 11436 / 11439 / 11451 / 11499 / 11690 / 11691 / 11692 / 11693 / 11694 / 11695 / 11697,2339150,42439
40009,40010,Houston,Fort Bend County / Harris County / Montgomery County,TX,Texas,77001 / 77002 / 77003 / 77004 / 77005 / 77006 / 77007 / 77008 / 77009 / 77010 / 77011 / 77012 / 77013 / 77014 / 77015 / 77016 / 77017 / 77018 / 77019 / 77020 / 77021 / 77022 / 77023 / 77024 / 77025 / 77026 / 77027 / 77028 / 77029 / 77030 / 77031 / 77032 / 77033 / 77034 / 77035 / 77036 / 77037 / 77038 / 77039 / 77040 / 77041 / 77042 / 77043 / 77044 / 77045 / 77046 / 77047 / 77048 / 77049 / 77050 / 77051 / 77052 / 77053 / 77054 / 77055 / 77056 / 77057 / 77058 / 77059 / 77060 / 77061 / 77062 / 77063 / 77064 / 77065 / 77066 / 77067 / 77068 / 77069 / 77070 / 77071 / 77072 / 77073 / 77074 / 77075 / 77076 / 77077 / 77078 / 77079 / 77080 / 77081 / 77082 / 77083 / 77084 / 77085 / 77086 / 77087 / 77088 / 77089 / 77090 / 77091 / 77092 / 77093 / 77094 / 77095 / 77096 / 77097 / 77098 / 77099 / 77201 / 77202 / 77203 / 77204 / 77205 / 77206 / 77207 / 77208 / 77209 / 77210 / 77212 / 77213 / 77215 / 77216 / 77217 / 77218 / 77219 / 77220 / 77221 / 77222 / 77223 / 77224 / 77225 / 77226 / 77227 / 77228 / 77229 / 77230 / 77231 / 77233 / 77234 / 77235 / 77236 / 77237 / 77238 / 77240 / 77241 / 77242 / 77243 / 77244 / 77245 / 77246 / 77247 / 77248 / 77249 / 77250 / 77251 / 77252 / 77253 / 77254 / 77255 / 77256 / 77257 / 77258 / 77259 / 77261 / 77262 / 77263 / 77265 / 77266 / 77267 / 77268 / 77269 / 77270 / 77271 / 77272 / 77273 / 77274 / 77275 / 77276 / 77277 / 77279 / 77280 / 77282 / 77284 / 77285 / 77286 / 77287 / 77288 / 77289 / 77290 / 77291 / 77292 / 77293 / 77294 / 77296 / 77297 / 77298 / 77299 / 77315 / 77336 / 77338 / 77339 / 77345 / 77346 / 77357 / 77365 / 77373 / 77375 / 77377 / 77379 / 77380 / 77386 / 77388 / 77389 / 77396 / 77401 / 77406 / 77407 / 77410 / 77411 / 77413 / 77429 / 77433 / 77449 / 77450 / 77477 / 77489 / 77493 / 77494 / 77498 / 77503 / 77504 / 77506 / 77520 / 77530 / 77532 / 77536 / 77545 / 77546 / 77547 / 77571 / 77598,2303482,46187
29165,29166,Manhattan,New York County,NY,New York,10001 / 10002 / 10003 / 10004 / 10005 / 10006 / 10007 / 10008 / 10009 / 10010 / 10011 / 10012 / 10013 / 10014 / 10016 / 10017 / 10018 / 10019 / 10021 / 10022 / 10023 / 10024 / 10025 / 10026 / 10027 / 10028 / 10029 / 10030 / 10031 / 10032 / 10033 / 10034 / 10035 / 10036 / 10037 / 10038 / 10039 / 10040 / 10043 / 10044 / 10046 / 10047 / 10065 / 10069 / 10072 / 10075 / 10079 / 10080 / 10081 / 10082 / 10087 / 10094 / 10096 / 10101 / 10102 / 10108 / 10109 / 10113 / 10114 / 10116 / 10117 / 10124 / 10125 / 10126 / 10128 / 10129 / 10130 / 10131 / 10132 / 10133 / 10138 / 10149 / 10150 / 10156 / 10157 / 10159 / 10160 / 10163 / 10164 / 10179 / 10184 / 10185 / 10196 / 10197 / 10203 / 10211 / 10212 / 10213 / 10242 / 10249 / 10256 / 10257 / 10258 / 10259 / 10260 / 10261 / 10265 / 10268 / 10269 / 10272 / 10273 / 10274 / 10275 / 10276 / 10277 / 10280 / 10282 / 10285 / 10286 / 10292,1644518,47030
1749,1750,Phoenix,Maricopa County,AZ,Arizona,85001 / 85002 / 85003 / 85004 / 85005 / 85006 / 85007 / 85008 / 85009 / 85010 / 85011 / 85012 / 85013 / 85014 / 85015 / 85016 / 85017 / 85018 / 85019 / 85020 / 85021 / 85022 / 85023 / 85024 / 85025 / 85026 / 85027 / 85028 / 85029 / 85030 / 85031 / 85032 / 85033 / 85034 / 85035 / 85036 / 85037 / 85038 / 85040 / 85041 / 85042 / 85043 / 85044 / 85045 / 85046 / 85048 / 85050 / 85051 / 85053 / 85054 / 85055 / 85060 / 85061 / 85062 / 85063 / 85064 / 85065 / 85066 / 85067 / 85068 / 85069 / 85070 / 85071 / 85072 / 85073 / 85074 / 85075 / 85076 / 85077 / 85078 / 85079 / 85080 / 85082 / 85083 / 85085 / 85086 / 85087 / 85096 / 85097 / 85098 / 85099 / 85226 / 85251 / 85253 / 85254 / 85255 / 85281 / 85304 / 85306 / 85307 / 85308 / 85310 / 85313 / 85331 / 85339 / 85353 / 85383,1615017,47326
36036,36037,Philadelphia,Philadelphia County,PA,Pennsylvania,19012 / 19019 / 19092 / 19093 / 19099 / 19101 / 19102 / 19103 / 19104 / 19105 / 19106 / 19107 / 19108 / 19109 / 19110 / 19111 / 19112 / 19113 / 19114 / 19115 / 19116 / 19118 / 19119 / 19120 / 19121 / 19122 / 19123 / 19124 / 19125 / 19126 / 19127 / 19128 / 19129 / 19130 / 19131 / 19132 / 19133 / 19134 / 19135 / 19136 / 19137 / 19138 / 19139 / 19140 / 19141 / 19142 / 19143 / 19144 / 19145 / 19146 / 19147 / 19148 / 19149 / 19150 / 19151 / 19152 / 19153 / 19154 / 19155 / 19160 / 19161 / 19162 / 19170 / 19171 / 19172 / 19173 / 19175 / 19176 / 19177 / 19178 / 19179 / 19181 / 19182 / 19183 / 19184 / 19185 / 19187 / 19188 / 19190 / 19191 / 19192 / 19193 / 19194 / 19195 / 19196 / 19197 / 19244 / 19255,1567872,38253
40716,40717,San Antonio,Bexar County / Comal County / Medina County,TX,Texas,78023 / 78054 / 78056 / 78073 / 78109 / 78112 / 78154 / 78201 / 78202 / 78203 / 78204 / 78205 / 78206 / 78207 / 78208 / 78209 / 78210 / 78211 / 78212 / 78213 / 78214 / 78215 / 78216 / 78217 / 78218 / 78219 / 78220 / 78221 / 78222 / 78223 / 78224 / 78225 / 78226 / 78227 / 78228 / 78229 / 78230 / 78231 / 78232 / 78233 / 78234 / 78235 / 78236 / 78237 / 78238 / 78239 / 78240 / 78241 / 78242 / 78243 / 78244 / 78245 / 78246 / 78247 / 78248 / 78249 / 78250 / 78251 / 78252 / 78253 / 78254 / 78255 / 78256 / 78257 / 78258 / 78259 / 78260 / 78261 / 78262 / 78263 / 78264 / 78265 / 78266 / 78268 / 78269 / 78270 / 78275 / 78278 / 78279 / 78280 / 78283 / 78284 / 78285 / 78286 / 78287 / 78288 / 78289 / 78291 / 78292 / 78293 / 78294 / 78295 / 78296 / 78297 / 78298 / 78299,1492510,46744
